date,start_time,end_time,subject,technique,distractions,mood,caffeine_mg,productivity
2026-03-16,15:15,15:45,Biology,Pomodoro,1,4,110,3
2026-03-17,16:30,17:30,Math,Active Recall,1,4,243,5
2026-03-17,08:15,08:40,CS,Note-taking,3,2,108,2
2026-03-18,08:00,08:30,CS,Active Recall,1,3,107,4
2026-03-18,15:00,16:30,Math,Active Recall,1,3,147,4
2026-03-19,16:30,17:15,Physics,Note-taking,1,4,118,3
2026-03-19,09:15,10:00,Biology,Note-taking,2,5,231,4
2026-03-20,14:00,15:30,Physics,Active Recall,1,2,118,3
2026-03-20,09:30,09:55,CS,Note-taking,1,3,156,4
2026-03-21,21:30,22:00,Biology,Note-taking,2,4,147,4
2026-03-21,10:30,10:55,Physics,Spaced Repetition,1,4,48,5
2026-03-22,19:00,20:00,History,Pomodoro,2,4,201,4
2026-03-22,08:15,09:30,History,Practice Problems,3,3,61,3
2026-03-23,09:00,10:00,Math,Spaced Repetition,1,5,214,5
2026-03-23,10:45,11:45,History,Note-taking,1,3,70,4
2026-03-24,08:45,09:30,Physics,Note-taking,3,3,153,3
2026-03-24,09:00,11:00,Physics,Note-taking,1,2,103,3
2026-03-25,08:00,08:30,Biology,Note-taking,0,4,139,3
2026-03-25,15:00,17:00,CS,Note-taking,0,5,175,4
2026-03-26,15:00,15:30,History,Note-taking,2,3,145,2
2026-03-26,09:45,10:45,CS,Practice Problems,2,4,185,4
2026-03-27,09:30,10:30,History,Note-taking,0,4,119,4
2026-03-27,20:45,21:45,History,Practice Problems,2,5,163,3
